plant_name,precision,recall,f1-score,support
Thyme plant,0.28,0.21,0.24,43
Tomatoes plant,0.46,0.15,0.22,41
Triticale plant,0.32,0.15,0.21,39
Turmeric plant,0.28,0.24,0.26,41
Turnip greens plant,0.05,0.07,0.06,42
Vanilla beans plant,0.75,0.29,0.42,41
Tea plant,0.04,0.02,0.03,46
Teff plant,0.60,0.15,0.24,39
Thyme plant,0.28,0.21,0.24,43
Tomatoes plant,0.46,0.15,0.22,41
Triticale plant,0.32,0.15,0.21,39
Turmeric plant,0.28,0.24,0.26,41
Turnip greens plant,0.05,0.07,0.06,42
Tea plant,0.04,0.02,0.03,46
Teff plant,0.60,0.15,0.24,39
Thyme plant,0.28,0.21,0.24,43
Tomatoes plant,0.46,0.15,0.22,41
Triticale plant,0.32,0.15,0.21,39
Turmeric plant,0.28,0.24,0.26,41
Tea plant,0.04,0.02,0.03,46
Teff plant,0.60,0.15,0.24,39
Thyme plant,0.28,0.21,0.24,43
Tomatoes plant,0.46,0.15,0.22,41
Triticale plant,0.32,0.15,0.21,39
Tea plant,0.04,0.02,0.03,46
Teff plant,0.60,0.15,0.24,39
Thyme plant,0.28,0.21,0.24,43
Tomatoes plant,0.46,0.15,0.22,41
Tea plant,0.04,0.02,0.03,46
Teff plant,0.60,0.15,0.24,39
Thyme plant,0.28,0.21,0.24,43
Tomatoes plant,0.46,0.15,0.22,41
Triticale plant,0.32,0.15,0.21,39
Turmeric plant,0.28,0.24,0.26,41
Turnip greens plant,0.05,0.07,0.06,42
Tea plant,0.04,0.02,0.03,46
Teff plant,0.60,0.15,0.24,39
Thyme plant,0.28,0.21,0.24,43
Tomatoes plant,0.46,0.15,0.22,41
Triticale plant,0.32,0.15,0.21,39
Turmeric plant,0.28,0.24,0.26,41
Turnip greens plant,0.05,0.07,0.06,42
Vanilla beans plant,0.75,0.29,0.42,41
Walnuts plant,0.11,0.14,0.12,44
Thyme plant,0.28,0.21,0.24,43
Tomatoes plant,0.46,0.15,0.22,41
Triticale plant,0.32,0.15,0.21,39
Turmeric plant,0.28,0.24,0.26,41
Turnip greens plant,0.05,0.07,0.06,42
Vanilla beans plant,0.75,0.29,0.42,41
Walnuts plant,0.11,0.14,0.12,44
Turnip greens plant,0.05,0.07,0.06,42
Vanilla beans plant,0.75,0.29,0.42,41
Walnuts plant,0.11,0.14,0.12,44
Watermelons plant,0.22,0.12,0.16,41
Wheat plant,0.16,0.11,0.13,45
Yams plant,0.15,0.16,0.15,44
Watermelons plant,0.22,0.12,0.16,41
Wheat plant,0.16,0.11,0.13,45
Yams plant,0.15,0.16,0.15,44
Wheat plant,0.16,0.11,0.13,45
Yams plant,0.15,0.16,0.15,44

